lr,batch_size,optimizer,best_train_acc,best_val_acc,test_acc
0.001,32,Adam,0.9925665101721439,1.0,1.0
0.001,32,SGD,0.9483568075117371,0.98,0.9765319426336375
0.001,64,Adam,0.9878716744913928,1.0,1.0
0.001,64,SGD,0.7934272300469484,0.8906666666666667,0.8552803129074316
0.0005,32,Adam,0.97339593114241,1.0,1.0
0.0005,32,SGD,0.8478090766823161,0.8986666666666666,0.864406779661017
0.0005,64,Adam,0.9847417840375586,1.0,1.0
0.0005,64,SGD,0.6960093896713615,0.796,0.7835723598435462
