step,epoch,train_loss,train_acc,val_loss,val_acc,test_acc
0,1,1.2164652140487529,0.5054773082942097,0.4966890443166097,0.7733333333333333,0.9986962190352021
0,2,0.3327093222098358,0.8560250391236307,0.18085266682008902,0.94,0.9986962190352021
0,3,0.17920594061950748,0.9323161189358372,0.0900703897587955,0.964,0.9986962190352021
0,4,0.11691626086714495,0.9557902973395931,0.09255920033017173,0.9586666666666667,0.9986962190352021
0,5,0.04428925872991716,0.9874804381846636,0.03087238447725152,0.9933333333333333,0.9986962190352021
0,6,0.03723143183674331,0.9906103286384976,0.1527648912985557,0.9413333333333334,0.9986962190352021
0,7,0.04728147543344431,0.9855242566510172,0.015945175325694436,0.9973333333333333,0.9986962190352021
0,8,0.005230331060685019,0.9996087636932708,0.009299400148757969,0.9986666666666667,0.9986962190352021
0,9,0.0018229904162467214,1.0,0.00990800438807733,0.9986666666666667,0.9986962190352021
0,10,0.00123362123535535,1.0,0.010752364238593135,0.9986666666666667,0.9986962190352021
0,11,0.0008745785012472486,1.0,0.011640547541920872,0.9986666666666667,0.9986962190352021
0,12,0.0005723884647019085,1.0,0.011044952781347091,0.9986666666666667,0.9986962190352021
0,13,0.0004547459025268264,1.0,0.011094205416578917,0.9986666666666667,0.9986962190352021
0,14,0.00038811364943064684,1.0,0.0104207018546925,0.9986666666666667,0.9986962190352021
0,15,0.00029815849112525307,1.0,0.010626751830235056,0.9973333333333333,0.9986962190352021
0,16,0.0002828763152448262,1.0,0.0115211652114837,0.9986666666666667,0.9986962190352021
0,17,0.00022839018273200469,1.0,0.010595339920302649,0.9986666666666667,0.9986962190352021
0,18,0.00020390857045558036,1.0,0.010568721065661521,0.9986666666666667,0.9986962190352021
1,1,1.4220341014003903,0.42018779342723006,0.6095415209929148,0.7173333333333334,1.0
1,2,0.536598694483066,0.7621283255086072,0.3208101950287819,0.868,1.0
1,3,0.3899530593031822,0.8282472613458529,0.28673477383454643,0.8853333333333333,1.0
1,4,0.2658960276482997,0.8963223787167449,0.16386457567786178,0.9453333333333334,1.0
1,5,0.22628389707007132,0.9061032863849765,0.2103683618591167,0.9146666666666666,1.0
1,6,0.17707211819239813,0.9264475743348983,0.2211289356824321,0.9093333333333333,1.0
1,7,0.14583733022586093,0.9448356807511737,0.07234350610229497,0.972,1.0
1,8,0.14673992907497244,0.9374021909233177,0.15288377141626067,0.9306666666666666,1.0
1,9,0.14213382129751273,0.9440532081377152,0.0866368556022644,0.9586666666666667,1.0
1,10,0.09039995341280443,0.9679186228482003,0.04732187283285506,0.9866666666666667,1.0
1,11,0.09426698556201932,0.9624413145539906,0.14390118122038742,0.9466666666666667,1.0
1,12,0.08812752994818027,0.9683098591549296,0.03838644921779632,0.988,1.0
1,13,0.07898471185555667,0.9710485133020345,0.1181757208754619,0.9533333333333334,1.0
1,14,0.06213600331179926,0.980829420970266,0.02925486256702182,0.9906666666666667,1.0
1,15,0.06895632326532977,0.9773082942097027,0.031326167546178715,0.992,1.0
1,16,0.045901322247626636,0.9839593114241002,0.11609771741115886,0.9666666666666667,1.0
1,17,0.05550136206692,0.9816118935837246,0.11024271814140896,0.944,1.0
1,18,0.05192685823053914,0.9816118935837246,0.023530416544293983,0.9946666666666667,1.0
1,19,0.08068272738436205,0.9804381846635368,0.14657327822720012,0.936,1.0
1,20,0.06776771184307682,0.9784820031298904,0.015769352861367224,0.996,1.0
1,21,0.024256195362907993,0.9913928012519562,0.012388886441787008,0.9946666666666667,1.0
1,22,0.019079332494982903,0.9945226917057903,0.03331348558460013,0.9906666666666667,1.0
1,23,0.03173873903075341,0.9902190923317684,0.016628990431893424,0.9933333333333333,1.0
1,24,0.018156133154888107,0.9937402190923318,0.029343227402284053,0.9893333333333333,1.0
1,25,0.02460080500931154,0.9937402190923318,0.028631984598778824,0.9906666666666667,1.0
1,26,0.05154574577039303,0.9812206572769953,0.014125004932626325,0.9946666666666667,1.0
1,27,0.015919831722059487,0.9956964006259781,0.011694380160498744,0.9946666666666667,1.0
1,28,0.014671043150712836,0.9949139280125195,0.016276597883591117,0.9946666666666667,1.0
1,29,0.015263678487434004,0.9953051643192489,0.008431723331149745,0.9973333333333333,1.0
1,30,0.014819090386141378,0.9945226917057903,0.025702013580968925,0.9893333333333333,1.0
1,31,0.021881725810357428,0.9929577464788732,0.014078094459759693,0.9973333333333333,1.0
1,32,0.01617370711264043,0.9960876369327074,0.0015526636157883332,1.0,1.0
1,33,0.018200586694773688,0.9945226917057903,0.008720823273148501,0.9973333333333333,1.0
1,34,0.014349086068939353,0.9964788732394366,0.0031730513116335715,0.9986666666666667,1.0
1,35,0.006945463763885142,0.9980438184663537,0.004633072410195685,1.0,1.0
1,36,0.012046496793394545,0.9964788732394366,0.0031334867544934846,0.9986666666666667,1.0
1,37,0.004711776731562391,0.9992175273865415,0.001813969435868709,1.0,1.0
1,38,0.0030571922631817687,0.9996087636932708,0.0028205976244353222,0.9986666666666667,1.0
1,39,0.001268687859279248,0.9996087636932708,0.004695472538237633,0.9973333333333333,1.0
1,40,0.02165679523660488,0.994131455399061,0.009105738352887176,0.9973333333333333,1.0
1,41,0.006087547675152608,0.9980438184663537,0.0009023642402947493,1.0,1.0
1,42,0.010086127323118886,0.9976525821596244,0.0012052469983233702,1.0,1.0
1,43,0.00460999946036895,0.9988262910798122,0.0026421654391063686,1.0,1.0
1,44,0.005795576572232386,0.9988262910798122,0.0014393087968116258,1.0,1.0
1,45,0.014385246215411863,0.9968701095461658,0.0019565420532499803,1.0,1.0
1,46,0.011134118140774965,0.9968701095461658,0.0010556169635674451,1.0,1.0
1,47,0.006199604078079028,0.9972613458528952,0.0009781039163305253,1.0,1.0
1,48,0.006972253191736559,0.9972613458528952,0.01199517057308185,0.996,1.0
1,49,0.007901436831002435,0.9964788732394366,0.010077333700393258,0.996,1.0
1,50,0.05930433200272558,0.9820031298904538,0.011121189235088726,0.996,1.0
1,51,0.00669229562567031,0.9976525821596244,0.0009166421399762233,1.0,1.0
2,1,1.6436309889075529,0.325508607198748,0.8339092928568522,0.6146666666666667,1.0
2,2,0.6918850119964618,0.6705790297339593,0.4670367239353557,0.7653333333333333,1.0
2,3,0.4659614979940961,0.7926447574334898,0.3501869634787242,0.8253333333333334,1.0
2,4,0.3516860219980816,0.8525039123630673,0.2524490692416827,0.9146666666666666,1.0
2,5,0.29124697068114425,0.8794992175273866,0.18373814072044722,0.9346666666666666,1.0
2,6,0.23540589409255086,0.912754303599374,0.1320334174731106,0.9453333333333334,1.0
2,7,0.20592844292684714,0.9194053208137715,0.12889511518583943,0.9493333333333334,1.0
2,8,0.18474528223789166,0.9370109546165885,0.11131281122813622,0.9693333333333334,1.0
2,9,0.1691597710845989,0.9311424100156495,0.11197314686196236,0.9573333333333334,1.0
2,10,0.14237184360833235,0.945226917057903,0.07274711251879731,0.9786666666666667,1.0
2,11,0.11866736561293147,0.9577464788732394,0.1729164134298141,0.9346666666666666,1.0
2,12,0.128471600349427,0.952660406885759,0.09051373492615919,0.9653333333333334,1.0
2,13,0.10298833664337607,0.9655712050078247,0.039972915979170166,0.9813333333333333,1.0
2,14,0.08561755798418944,0.9687010954616588,0.04417952779494226,0.988,1.0
2,15,0.08888068858166816,0.9706572769953051,0.0736581205589076,0.9733333333333334,1.0
2,16,0.05695663057325965,0.980829420970266,0.06500407743950685,0.9786666666666667,1.0
2,17,0.054360541909297636,0.9804381846635368,0.02740578540166219,0.992,1.0
2,18,0.05571433029637463,0.9816118935837246,0.025150581113926214,0.9893333333333333,1.0
